type,bottom_depth_m,date,station,depth_m,model_type,ps,alpha,beta,p0,pm,ek,im,ib,alpha_b,beta_b,pb_max,rss,r2,pi,method,sample_type,snow_thickness,sample_source,quality_control,mission
B,360,2016-06-24,176,1.5,model1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-06-24,176,5,model2,0.965355919,0.007804893,NA,-0.130008034,NA,NA,NA,NA,0.007285441,NA,NA,0.005317294,0.99451308,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-06-24,176,10,model1,1.974846022,0.022765801,2.38e-4,-0.294128231,1.863124702,81.83875064,396.4441398,8289.451283,0.024062785,2.52e-4,1.969268261,0.007913204,0.997256446,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-06-24,176,20,model2,4.009410611,0.020553484,NA,-0.065044288,NA,NA,NA,NA,0.026860277,NA,NA,0.305177956,0.979403376,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-06-24,176,40,model1,0.791746202,0.027280452,0,-0.329408096,0.791746202,29.02247363,Inf,Inf,0.055078643,0,1.598518477,0.007083856,0.967123717,"Ferland, J.",14C P vs. E curve,water,NA,niskin,"warning, value ""Inf"" detected",ice_camp_2016
B,360,2016-06-24,176,NA,model2,1.336963301,0.021486372,NA,-0.217565483,NA,NA,NA,NA,0.004134042,NA,NA,0.051243076,0.960745828,"Ferland, J.",14C P vs. E curve,ice,thick_snow,0-1 cm,NA,ice_camp_2016
B,360,2016-06-27,179,1.5,model1,0.302505606,0.004582941,2.63e-5,-0.072603419,0.291997496,63.71400471,341.0414566,11507.9783,0.00430687,2.47e-5,0.274407947,0.001507599,0.972020742,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-06-27,179,10,model1,2.957642845,0.050933904,1.75e-4,-0.67584463,2.890469792,56.74942537,329.5345737,16867.34489,0.030439194,1.05e-4,1.727406796,0.042806078,0.990158101,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-06-27,179,20,model1,0.533695722,0.010644961999999999,6.93e-5,-0.141498625,0.513127636,48.20380227,252.7367416,7702.306304,0.006129772,3.99e-5,0.295478312,0.001174976,0.987509943,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-06-27,179,30,model1,1.827148754,0.060434872,3.7e-5,-0.692352366,1.817781017,30.0783464,223.7089071,49401.78916,0.047684135,2.92e-5,1.434259916,0.033259099,0.929913996,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-06-27,179,60,model1,0.286576162,0.005948735,1.85e-4,0.006513246,0.249234071,41.89698363,168.6240614,1547.603516,0.01838299,5.72e-4,0.770191814,0.004134747,0.850530341,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-06-27,179,NA,model1,0.202585963,0.00345359,3.37e-5,-0.051104581,0.19174742,55.52118057,272.1391461,6010.955195,0.001373399,1.34e-5,0.076252748,2.56e-4,0.985846996,"Ferland, J.",14C P vs. E curve,ice,thick_snow,0-1 cm,NA,ice_camp_2016
B,360,2016-06-29,181,1.5,model1,0.377375666,0.004720842,5.6e-6,-0.074180249,0.37392769,79.20784291,538.6347273,67386.93491,0.003827192,4.54e-6,0.303143648,6.47e-4,0.993430549,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-06-29,181,10,model1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-06-29,181,20,model1,2.496237369,0.059001469,3.32e-4,-0.587471073,2.410877767,40.86131751,219.3978369,7518.248999,1.069388483,0.006017857,43.69662234,0.081024032,0.960598027,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-06-29,181,30,model1,2.604206793,0.064792118,6.08e-4,-0.716552843,2.469212094,38.10976069,188.0371334,4284.185658,0.044573554,4.18e-4,1.698687461,0.029550325,0.976780401,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-06-29,181,60,model2,0.060881174,6.22e-4,NA,0.009412988,NA,NA,NA,NA,0.005392474,NA,NA,5.23e-4,0.873354892,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-06-29,181,NA,model1,0.079541453,0.001038429,2e-5,-0.019920369,0.072283551,69.60856258,303.8389777,3968.438237,8.11e-4,1.57e-5,0.056473345,1.38e-4,0.962753163,"Ferland, J.",14C P vs. E curve,ice,thick_snow,0-1 cm,NA,ice_camp_2016
B,360,2016-07-01,183,1.5,model1,2.858580805,0.001778993,0.00479599,-0.029454706,0.330405634,185.7262281,506.9491488,596.0356504,0.001375971,0.003709482,0.255553897,7.18e-4,0.990551734,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-01,183,10,model1,0.514936962,0.004815107,1.44e-4,-0.072945801,0.449626642,93.37832004,378.1742455,3565.248013,0.002761906,8.28e-5,0.257902169,0.002822086,0.977790269,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-01,183,20,model1,0.62172447,0.010772459,2.34e-5,-0.137868961,0.612152588,56.82570461,353.9395359,26527.83551,0.005079432,1.11e-5,0.288642299,0.002301326,0.990559889,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-01,183,30,model1,0.470886738,0.006071442,1.82e-4,-0.051129876,0.411240685,67.73360663,274.3973179,2590.21879,0.00380059,1.14e-4,0.257427659,9.08e-4,0.990561209,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-01,183,60,model1,0.13929667,2.97e-4,3.48e-4,0.001598176,0.031170013,104.8665684,289.5847463,400.7224769,0.001723101,0.002015153,0.180695729,7.36e-5,0.898874376,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-01,183,NA,model2,0.012739055000000001,6.26e-5,NA,-6.04e-4,NA,NA,NA,NA,1.87e-4,NA,NA,6.77e-6,0.959628316,"Ferland, J.",14C P vs. E curve,ice,thick_snow,0-1 cm,NA,ice_camp_2016
B,360,2016-07-04,186,1.5,model2,0.652186226,0.01272649,NA,-0.224340543,NA,NA,NA,NA,0.008478674,NA,NA,0.005693369,0.971416019,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-04,186,10,model1,0.709844855,0.00979635,1.37e-4,-0.123052198,0.659255149,67.29599752,310.2267324,5169.129388,0.005685966,7.97e-5,0.382642724,0.00240709,0.99258145,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-04,186,20,model1,0.919041437,0.010853601,3.54e-4,-0.051766015,0.795237648,73.26947182,292.6293769,2598.344923,0.00441796,1.44e-4,0.323701571,8.04e-4,0.99810532,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-04,186,30,model1,0.622956523,0.010463386,1.04e-4,-0.135096593,0.589243898,56.31483923,275.3658211,6014.210121,0.005908513,5.85e-5,0.332736969,0.001639888,0.987077424,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-04,186,60,model2,1.587677532,0.036419715,NA,-0.462558288,NA,NA,NA,NA,0.046147637,NA,NA,0.064777759,0.950446723,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-04,186,NA,model1,0.28550146,0.004304555,8.06e-5,-0.067912793,0.260047852,60.41224732,265.0694361,3542.260735,0.002838442,5.31e-5,0.171476688,6.86e-4,0.984060613,"Ferland, J.",14C P vs. E curve,ice,thick_snow,0-1 cm,NA,ice_camp_2016
B,360,2016-07-06,188,1.5,model1,0.717944378,0.006126837,1.77e-4,-0.10696434,0.629510155,102.7463449,418.9273079,4065.806359,0.003331251,9.6e-5,0.342273899,0.021599706,0.942461854,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-06,188,10,model2,0.614196243,0.006451564,NA,-0.12459084,NA,NA,NA,NA,0.003401109,NA,NA,0.002449544,0.991110419,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-06,188,20,model1,0.595727173,0.008991962,1.12e-4,-0.131001079,0.557164782,61.96253639,291.6524303,5341.999844,0.005064468,6.28e-5,0.313807256,0.002105008,0.98859689,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-06,188,30,model1,0.646699134,0.01223662,5.61e-5,-0.196830133,0.628030075,51.32381779,284.8183386,11523.08344,0.004667971,2.14e-5,0.239578117,0.003032885,0.980356888,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-06,188,60,model2,0.224782256,0.003891467,NA,-0.023755989,NA,NA,NA,NA,0.003637565,NA,NA,0.001257213,0.956652127,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-06,188,NA,model1,0.0605235,8.05e-4,1.69e-5,-0.017311162,0.054638904,67.90194305,292.1914619,3584.358572,0.001440231,3.02e-5,0.097794461,1.05e-4,0.946234708,"Ferland, J.",14C P vs. E curve,ice,thick_snow,0-1 cm,NA,ice_camp_2016
B,360,2016-07-08,190,1.5,model2,0.290115586,0.003038358,NA,-0.057433662,NA,NA,NA,NA,0.00315969,NA,NA,0.002144795,0.972217815,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-08,190,10,model1,1.262826652,0.013073663,5.4e-4,-0.197008879,1.061391111,81.18544495,311.7327723,2338.604694,0.005877653,2.43e-4,0.477179837,0.044130847,0.951340797,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-08,190,20,model1,1.109575923,0.013145982,1.82e-4,-0.24642758,1.03128928,78.44901061,362.4333763,6099.086942,0.005271043,7.29e-5,0.413508131,0.00364572,0.995289465,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-08,190,30,model1,0.946170991,0.016933436,7.64e-5,-0.245350062,0.919235259,54.2852162,302.0616493,12389.08636,0.007613955,3.43e-5,0.41332520699999997,0.008424019,0.977250346,"Ferland, J.",14C P vs. E curve,water,NA,niskin,NA,ice_camp_2016
B,360,2016-07-08,190,60,model1,0.120047307,0.001793376,0,0.026084885,0.120047307,66.93930074,Inf,Inf,0.001852278,0,0.123990195,6.56e-4,0.936470189,"Ferland, J.",14C P vs. E curve,water,NA,niskin,"warning, value ""Inf"" detected",ice_camp_2016
B,360,2016-07-08,190,NA,model1,0.032295008,2.6e-4,1.07e-5,-0.004028022,0.027170476,104.4844652,401.6869126,3029.253156,9.65e-4,3.96e-5,0.100829741,2.32e-6,0.996688328,"Ferland, J.",14C P vs. E curve,ice,thick_snow,0-1 cm,NA,ice_camp_2016
