From https://www.esrl.noaa.gov/gmd/grad/solcalc/,
"Solar elevation angle at local noon for the 15th day of each month of year 1995 for the Amundsen Gulf (71°N, -125°E).",
,
Month,Elevation (degrees)
1,-2.09
2,6.31
3,16.82
4,28.77
5,37.86
6,42.24
7,40.37
8,32.91
9,21.97
10,10.51
11,0.9
12,-4.23
