mission,date,date_time,latitude,longitude,sample_type,snow_thickness,sample_thickness_cm_average,sample_thickness_cm_sd,pi
ice_camp_2015,2015-05-12,2015-05-12T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,126.666666666667,1.12546286774228,"Galindo, V."
ice_camp_2015,2015-05-14,2015-05-14T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,126.714285714286,1.64389201360094,"Galindo, V."
ice_camp_2015,2015-05-16,2015-05-16T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,122,0.547722557505166,"Galindo, V."
ice_camp_2015,2015-05-18,2015-05-18T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,114.428571428571,0.607492896293956,"Galindo, V."
ice_camp_2015,2015-05-20,2015-05-20T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,118.566666666667,1.16904519445001,"Galindo, V."
ice_camp_2015,2015-05-22,2015-05-22T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,119.833333333333,0.752772652709081,"Galindo, V."
ice_camp_2015,2015-05-25,2015-05-25T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,128.285714285714,0.786795792469443,"Galindo, V."
ice_camp_2015,2015-05-27,2015-05-27T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,142.666666666667,0.258198889747161,"Galindo, V."
ice_camp_2015,2015-05-29,2015-05-29T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,119.571428571429,0.267261241912424,"Galindo, V."
ice_camp_2015,2015-05-31,2015-05-31T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,141.833333333333,0.204124145231932,"Galindo, V."
ice_camp_2015,2015-06-02,2015-06-02T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,140.142857142857,0.534522483824849,"Galindo, V."
ice_camp_2015,2015-06-04,2015-06-04T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,139.25,0,"Galindo, V."
ice_camp_2015,2015-06-06,2015-06-06T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,136,0.683130051063973,"Galindo, V."
ice_camp_2015,2015-06-08,2015-06-08T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,130.2,2.16794833886788,"Galindo, V."
ice_camp_2015,2015-06-10,2015-06-10T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,132.5,2.2286019533929,"Galindo, V."
ice_camp_2015,2015-06-12,2015-06-12T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,127.4,0.752772652709081,"Galindo, V."
ice_camp_2015,2015-06-15,2015-06-15T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,124.833333333333,1.03279555898864,"Galindo, V."
ice_camp_2015,2015-06-18,2015-06-18T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,125,1.22474487139159,"Galindo, V."
ice_camp_2015,2015-06-21,2015-06-21T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,115.6,0,"Galindo, V."
ice_camp_2015,2015-06-24,2015-06-24T00:00:00Z,67.47973333,-63.78953333,ice,thin_snow,95.75,0,"Galindo, V."
ice_camp_2015,2015-04-24,2015-04-24T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,20.5,0.577350269189626,"Galindo, V."
ice_camp_2015,2015-04-26,2015-04-26T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,28.125,1.92353840616713,"Galindo, V."
ice_camp_2015,2015-04-28,2015-04-28T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,28.3333333333333,1.96638416050035,"Galindo, V."
ice_camp_2015,2015-04-30,2015-04-30T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,31,4.07021702943058,"Galindo, V."
ice_camp_2015,2015-05-02,2015-05-02T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,29.75,4.24264068711928,"Galindo, V."
ice_camp_2015,2015-05-04,2015-05-04T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,27.5,0.755928946018454,"Galindo, V."
ice_camp_2015,2015-05-06,2015-05-06T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,26,1.211060141639,"Galindo, V."
ice_camp_2015,2015-05-08,2015-05-08T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,22.6666666666667,1.60356745147455,"Galindo, V."
ice_camp_2015,2015-05-12,2015-05-12T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,33.5,1.03279555898864,"Galindo, V."
ice_camp_2015,2015-05-14,2015-05-14T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,40.3333333333333,1.25356634105602,"Galindo, V."
ice_camp_2015,2015-05-16,2015-05-16T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,32.4,1.09544511501033,"Galindo, V."
ice_camp_2015,2015-05-18,2015-05-18T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,50.5,2.63673679998231,"Galindo, V."
ice_camp_2015,2015-05-20,2015-05-20T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,51.75,0.930949336251262,"Galindo, V."
ice_camp_2015,2015-05-22,2015-05-22T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,41,3.06050104830347,"Galindo, V."
ice_camp_2015,2015-05-25,2015-05-25T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,36,3.09377254681539,"Galindo, V."
ice_camp_2015,2015-05-27,2015-05-27T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,45.125,0.816496580927726,"Galindo, V."
ice_camp_2015,2015-05-29,2015-05-29T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,35.8333333333333,0.932227235735804,"Galindo, V."
ice_camp_2015,2015-05-31,2015-05-31T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,41.625,1.16904519445001,"Galindo, V."
ice_camp_2015,2015-06-02,2015-06-02T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,27.125,2.85356919363403,"Galindo, V."
ice_camp_2015,2015-06-04,2015-06-04T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,36,2.0528725518857,"Galindo, V."
ice_camp_2015,2015-06-06,2015-06-06T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,31,1.09544511501033,"Galindo, V."
ice_camp_2015,2015-06-08,2015-06-08T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,40,2.28035085019828,"Galindo, V."
ice_camp_2015,2015-06-10,2015-06-10T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,32,2.73861278752583,"Galindo, V."
ice_camp_2015,2015-06-12,2015-06-12T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,29.3333333333333,3.36154726279432,"Galindo, V."
ice_camp_2015,2015-06-15,2015-06-15T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,20,1.60208197875972,"Galindo, V."
ice_camp_2015,2015-06-18,2015-06-18T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,14.5,1.22474487139159,"Galindo, V."
ice_camp_2015,2015-06-21,2015-06-21T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,8,1.34164078649987,"Galindo, V."
ice_camp_2015,2015-06-24,2015-06-24T00:00:00Z,67.47973333,-63.78953333,snow,thick_snow,4,0.5,"Galindo, V."
ice_camp_2015,2015-04-24,2015-04-24T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,118.5,0.577350269189626,"Galindo, V."
ice_camp_2015,2015-04-26,2015-04-26T00:00:00Z,67.47973333,-63.78953333,ice,thick_snow,116.5,1.29099444873581,"Galindo, V."
